,Date,Month,Day,Hour,Minute,Power,Central,Domar,Tiunda,Ärentuna,Stenhagen
294,2021-10-07,10,7,10,30,9431.0,1,0,0,0,0
295,2021-10-07,10,7,10,35,8067.0,1,0,0,0,0
296,2021-10-07,10,7,10,40,11998.0,1,0,0,0,0
297,2021-10-07,10,7,10,45,9452.0,1,0,0,0,0
298,2021-10-07,10,7,10,50,12046.0,1,0,0,0,0
299,2021-10-07,10,7,10,55,12261.0,1,0,0,0,0
300,2021-10-07,10,7,11,0,8164.0,1,0,0,0,0
301,2021-10-07,10,7,11,5,10587.0,1,0,0,0,0
302,2021-10-07,10,7,11,10,10688.0,1,0,0,0,0
303,2021-10-07,10,7,11,15,16578.0,1,0,0,0,0
304,2021-10-07,10,7,11,20,16538.0,1,0,0,0,0
305,2021-10-07,10,7,11,25,12049.0,1,0,0,0,0
306,2021-10-07,10,7,11,30,15455.0,1,0,0,0,0
307,2021-10-07,10,7,11,35,18618.0,1,0,0,0,0
308,2021-10-07,10,7,11,40,11479.0,1,0,0,0,0
309,2021-10-07,10,7,11,45,10344.0,1,0,0,0,0
310,2021-10-07,10,7,11,50,14262.0,1,0,0,0,0
311,2021-10-07,10,7,11,55,16850.0,1,0,0,0,0
312,2021-10-07,10,7,12,0,12129.0,1,0,0,0,0
313,2021-10-07,10,7,12,5,17636.0,1,0,0,0,0
314,2021-10-07,10,7,12,10,10038.0,1,0,0,0,0
315,2021-10-07,10,7,12,15,28278.0,1,0,0,0,0
316,2021-10-07,10,7,12,20,26454.0,1,0,0,0,0
317,2021-10-07,10,7,12,25,20505.0,1,0,0,0,0
318,2021-10-07,10,7,12,30,19384.0,1,0,0,0,0
319,2021-10-07,10,7,12,35,13711.0,1,0,0,0,0
320,2021-10-07,10,7,12,40,15654.0,1,0,0,0,0
321,2021-10-07,10,7,12,45,13851.0,1,0,0,0,0
322,2021-10-07,10,7,12,50,22118.0,1,0,0,0,0
323,2021-10-07,10,7,12,55,11154.0,1,0,0,0,0
324,2021-10-07,10,7,13,0,9634.0,1,0,0,0,0
325,2021-10-07,10,7,13,5,2629.0,1,0,0,0,0
326,2021-10-07,10,7,13,10,11578.0,1,0,0,0,0
327,2021-10-07,10,7,13,15,15524.0,1,0,0,0,0
328,2021-10-07,10,7,13,20,10541.0,1,0,0,0,0
329,2021-10-07,10,7,13,25,11805.0,1,0,0,0,0
330,2021-10-07,10,7,13,30,10381.0,1,0,0,0,0
331,2021-10-07,10,7,13,35,11472.0,1,0,0,0,0
332,2021-10-07,10,7,13,40,11033.0,1,0,0,0,0
333,2021-10-07,10,7,13,45,9516.0,1,0,0,0,0
334,2021-10-07,10,7,13,50,9399.0,1,0,0,0,0
335,2021-10-07,10,7,13,55,10998.0,1,0,0,0,0
336,2021-10-07,10,7,14,0,12128.0,1,0,0,0,0
337,2021-10-07,10,7,14,5,9768.0,1,0,0,0,0
338,2021-10-07,10,7,14,10,9421.0,1,0,0,0,0
339,2021-10-07,10,7,14,15,3142.0,1,0,0,0,0
340,2021-10-07,10,7,14,20,3565.0,1,0,0,0,0
341,2021-10-07,10,7,14,25,3423.0,1,0,0,0,0
342,2021-10-07,10,7,14,30,4708.0,1,0,0,0,0
343,2021-10-07,10,7,14,35,4171.0,1,0,0,0,0
344,2021-10-07,10,7,14,40,4010.0,1,0,0,0,0
345,2021-10-07,10,7,14,45,2723.0,1,0,0,0,0
346,2021-10-07,10,7,14,50,3535.0,1,0,0,0,0
347,2021-10-07,10,7,14,55,1946.0,1,0,0,0,0
348,2021-10-07,10,7,15,0,4693.0,1,0,0,0,0
349,2021-10-07,10,7,15,5,4185.0,1,0,0,0,0
350,2021-10-07,10,7,15,10,4685.0,1,0,0,0,0
351,2021-10-07,10,7,15,15,4728.0,1,0,0,0,0
352,2021-10-07,10,7,15,20,4944.0,1,0,0,0,0
353,2021-10-07,10,7,15,25,4146.0,1,0,0,0,0
354,2021-10-07,10,7,15,30,2645.0,1,0,0,0,0
355,2021-10-07,10,7,15,35,2469.0,1,0,0,0,0
356,2021-10-07,10,7,15,40,2314.0,1,0,0,0,0
357,2021-10-07,10,7,15,45,3431.0,1,0,0,0,0
358,2021-10-07,10,7,15,50,2422.0,1,0,0,0,0
359,2021-10-07,10,7,15,55,1682.0,1,0,0,0,0
360,2021-10-08,10,8,6,0,1369.0,1,0,0,0,0
361,2021-10-08,10,8,6,5,1874.0,1,0,0,0,0
362,2021-10-08,10,8,6,10,1485.0,1,0,0,0,0
363,2021-10-08,10,8,6,15,1074.0,1,0,0,0,0
364,2021-10-08,10,8,6,20,1671.0,1,0,0,0,0
365,2021-10-08,10,8,6,25,2552.0,1,0,0,0,0
366,2021-10-08,10,8,6,30,7374.0,1,0,0,0,0
367,2021-10-08,10,8,6,35,9538.0,1,0,0,0,0
368,2021-10-08,10,8,6,40,11490.0,1,0,0,0,0
369,2021-10-08,10,8,6,45,6360.0,1,0,0,0,0
370,2021-10-08,10,8,6,50,8653.0,1,0,0,0,0
371,2021-10-08,10,8,6,55,7742.0,1,0,0,0,0
372,2021-10-08,10,8,7,0,6854.0,1,0,0,0,0
373,2021-10-08,10,8,7,5,8194.0,1,0,0,0,0
374,2021-10-08,10,8,7,10,5916.0,1,0,0,0,0
375,2021-10-08,10,8,7,15,6543.0,1,0,0,0,0
376,2021-10-08,10,8,7,20,4222.0,1,0,0,0,0
377,2021-10-08,10,8,7,25,3778.0,1,0,0,0,0
378,2021-10-08,10,8,7,30,12163.0,1,0,0,0,0
379,2021-10-08,10,8,7,35,17307.0,1,0,0,0,0
380,2021-10-08,10,8,7,40,16917.0,1,0,0,0,0
381,2021-10-08,10,8,7,45,13674.0,1,0,0,0,0
382,2021-10-08,10,8,7,50,3525.0,1,0,0,0,0
383,2021-10-08,10,8,7,55,10028.0,1,0,0,0,0
384,2021-10-08,10,8,8,0,18640.0,1,0,0,0,0
385,2021-10-08,10,8,8,5,16621.0,1,0,0,0,0
386,2021-10-08,10,8,8,10,7193.0,1,0,0,0,0
387,2021-10-08,10,8,8,15,8359.0,1,0,0,0,0
388,2021-10-08,10,8,8,20,12531.0,1,0,0,0,0
389,2021-10-08,10,8,8,25,5100.0,1,0,0,0,0
390,2021-10-08,10,8,8,30,3283.0,1,0,0,0,0
391,2021-10-08,10,8,8,35,4964.0,1,0,0,0,0
392,2021-10-08,10,8,8,40,8234.0,1,0,0,0,0
393,2021-10-08,10,8,8,45,9432.0,1,0,0,0,0
394,2021-10-08,10,8,8,50,17321.0,1,0,0,0,0
395,2021-10-08,10,8,8,55,16890.0,1,0,0,0,0
396,2021-10-08,10,8,9,0,9666.0,1,0,0,0,0
397,2021-10-08,10,8,9,5,19075.0,1,0,0,0,0
398,2021-10-08,10,8,9,10,19428.0,1,0,0,0,0
399,2021-10-08,10,8,9,15,16888.0,1,0,0,0,0
400,2021-10-08,10,8,9,20,15674.0,1,0,0,0,0
401,2021-10-08,10,8,9,25,15358.0,1,0,0,0,0
402,2021-10-08,10,8,9,30,16443.0,1,0,0,0,0
403,2021-10-08,10,8,9,35,7265.0,1,0,0,0,0
404,2021-10-08,10,8,9,40,12641.0,1,0,0,0,0
405,2021-10-08,10,8,9,45,6035.0,1,0,0,0,0
406,2021-10-08,10,8,9,50,7516.0,1,0,0,0,0
407,2021-10-08,10,8,9,55,8220.0,1,0,0,0,0
408,2021-10-08,10,8,10,0,18409.0,1,0,0,0,0
409,2021-10-08,10,8,10,5,38168.0,1,0,0,0,0
410,2021-10-08,10,8,10,10,77946.0,1,0,0,0,0
411,2021-10-08,10,8,10,15,70639.0,1,0,0,0,0
412,2021-10-08,10,8,10,20,37398.0,1,0,0,0,0
413,2021-10-08,10,8,10,25,26177.0,1,0,0,0,0
414,2021-10-08,10,8,10,30,22298.0,1,0,0,0,0
415,2021-10-08,10,8,10,35,43898.0,1,0,0,0,0
416,2021-10-08,10,8,10,40,45080.0,1,0,0,0,0
417,2021-10-08,10,8,10,45,57750.0,1,0,0,0,0
418,2021-10-08,10,8,10,50,36709.0,1,0,0,0,0
419,2021-10-08,10,8,10,55,31272.0,1,0,0,0,0
420,2021-10-08,10,8,11,0,27886.0,1,0,0,0,0
421,2021-10-08,10,8,11,5,34514.0,1,0,0,0,0
422,2021-10-08,10,8,11,10,41684.0,1,0,0,0,0
423,2021-10-08,10,8,11,15,47314.0,1,0,0,0,0
424,2021-10-08,10,8,11,20,50521.0,1,0,0,0,0
425,2021-10-08,10,8,11,25,46668.0,1,0,0,0,0
426,2021-10-08,10,8,11,30,38268.0,1,0,0,0,0
427,2021-10-08,10,8,11,35,57380.0,1,0,0,0,0
428,2021-10-08,10,8,11,40,41038.0,1,0,0,0,0
429,2021-10-08,10,8,11,45,53369.0,1,0,0,0,0
430,2021-10-08,10,8,11,50,33436.0,1,0,0,0,0
